ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0.25_0.5	CC	0.401_0.5	55	0.069	221	0.277
cons_cons	0.25_0.5	CC	0.501_0.6	22	0.028	243	0.304
cons_cons	0.25_0.5	CC	0.601_0.7	67	0.084	310	0.388
cons_cons	0.25_0.5	CC	0.701_0.8	60	0.075	370	0.463
cons_cons	0.25_0.5	CC	0.801_0.9	23	0.029	393	0.492
cons_cons	0.25_0.5	CC	0.901_1.0	406	0.508	799	1.0
cons_cons	0.25_0.5	EE	0_0.1	7	0.038	7	0.038
cons_cons	0.25_0.5	EE	0.101_0.2	28	0.153	35	0.191
cons_cons	0.25_0.5	EE	0.201_0.3	33	0.18	68	0.372
cons_cons	0.25_0.5	EE	0.301_0.4	38	0.208	106	0.579
cons_cons	0.25_0.5	EE	0.401_0.5	22	0.12	128	0.699
cons_cons	0.25_0.5	EE	0.501_0.6	7	0.038	135	0.738
cons_cons	0.25_0.5	EE	0.601_0.7	16	0.087	151	0.825
cons_cons	0.25_0.5	EE	0.701_0.8	6	0.033	157	0.858
cons_cons	0.25_0.5	EE	0.801_0.9	0	0.0	157	0.858
cons_cons	0.25_0.5	EE	0.901_1.0	26	0.142	183	1.0
cons_cons	0.25_0.5	HH	0_0.1	8	0.017	8	0.017
cons_cons	0.25_0.5	HH	0.101_0.2	39	0.081	47	0.098
cons_cons	0.25_0.5	HH	0.201_0.3	37	0.077	84	0.174
cons_cons	0.25_0.5	HH	0.301_0.4	61	0.127	145	0.301
cons_cons	0.25_0.5	HH	0.401_0.5	42	0.087	187	0.388
cons_cons	0.25_0.5	HH	0.501_0.6	18	0.037	205	0.425
cons_cons	0.25_0.5	HH	0.601_0.7	51	0.106	256	0.531
cons_cons	0.25_0.5	HH	0.701_0.8	30	0.062	286	0.593
cons_cons	0.25_0.5	HH	0.801_0.9	10	0.021	296	0.614
cons_cons	0.25_0.5	HH	0.901_1.0	186	0.386	482	1.0
cons_cons	0.75_1.01	CC	0_0.1	1390	0.033	1390	0.033
cons_cons	0.75_1.01	CC	0.101_0.2	4429	0.104	5819	0.136
cons_cons	0.75_1.01	CC	0.201_0.3	3372	0.079	9191	0.215
cons_cons	0.75_1.01	CC	0.301_0.4	5051	0.118	14242	0.334
cons_cons	0.75_1.01	CC	0.401_0.5	3726	0.087	17968	0.421
cons_cons	0.75_1.01	CC	0.501_0.6	2053	0.048	20021	0.469
cons_cons	0.75_1.01	CC	0.601_0.7	3266	0.076	23287	0.545
