ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq
cons_cons	0.25_0.5	EE	0.401_0.5	12	0.105
cons_cons	0.25_0.5	HH	0.601_0.7	40	0.117
cons_cons	0.25_0.5	HH	0_0.1	0	0.0
cons_cons	0.25_0.5	HH	0.901_1.0	205	0.598
cons_cons	0.25_0.5	HH	0.201_0.3	7	0.02
cons_cons	0.25_0.5	HH	0.801_0.9	9	0.026
cons_cons	0.25_0.5	HH	0.301_0.4	15	0.044
cons_cons	0.25_0.5	HH	0.101_0.2	8	0.023
cons_cons	0.25_0.5	HH	0.701_0.8	25	0.073
cons_cons	0.25_0.5	HH	0.501_0.6	12	0.035
cons_cons	0.25_0.5	HH	0.401_0.5	22	0.064
cons_cons	0.75_1.01	CC	0.601_0.7	2534	0.086
cons_cons	0.75_1.01	CC	0_0.1	69	0.002
cons_cons	0.75_1.01	CC	0.901_1.0	15437	0.521
cons_cons	0.75_1.01	CC	0.201_0.3	786	0.027
cons_cons	0.75_1.01	CC	0.801_0.9	2222	0.075
cons_cons	0.75_1.01	CC	0.301_0.4	1769	0.06
cons_cons	0.75_1.01	CC	0.101_0.2	625	0.021
cons_cons	0.75_1.01	CC	0.701_0.8	2896	0.098
cons_cons	0.75_1.01	CC	0.501_0.6	1348	0.045
cons_cons	0.75_1.01	CC	0.401_0.5	1943	0.066
cons_cons	0.75_1.01	EE	0.601_0.7	710	0.119
cons_cons	0.75_1.01	EE	0_0.1	57	0.01
cons_cons	0.75_1.01	EE	0.901_1.0	1438	0.241
cons_cons	0.75_1.01	EE	0.201_0.3	458	0.077
cons_cons	0.75_1.01	EE	0.801_0.9	364	0.061
cons_cons	0.75_1.01	EE	0.301_0.4	920	0.154
cons_cons	0.75_1.01	EE	0.101_0.2	413	0.069
cons_cons	0.75_1.01	EE	0.701_0.8	572	0.096
cons_cons	0.75_1.01	EE	0.501_0.6	360	0.06
cons_cons	0.75_1.01	EE	0.401_0.5	668	0.112
cons_cons	0.75_1.01	HH	0.601_0.7	1754	0.099
cons_cons	0.75_1.01	HH	0_0.1	78	0.004
cons_cons	0.75_1.01	HH	0.901_1.0	7885	0.444
cons_cons	0.75_1.01	HH	0.201_0.3	676	0.038
cons_cons	0.75_1.01	HH	0.801_0.9	1329	0.075
cons_cons	0.75_1.01	HH	0.301_0.4	1304	0.073
cons_cons	0.75_1.01	HH	0.101_0.2	486	0.027
cons_cons	0.75_1.01	HH	0.701_0.8	1905	0.107
cons_cons	0.75_1.01	HH	0.501_0.6	961	0.054
cons_cons	0.75_1.01	HH	0.401_0.5	1398	0.079
cons_cons	0_0.25	CC	0.601_0.7	11	0.057
cons_cons	0_0.25	CC	0_0.1	0	0.0
cons_cons	0_0.25	CC	0.901_1.0	150	0.781
cons_cons	0_0.25	CC	0.201_0.3	1	0.005
cons_cons	0_0.25	CC	0.801_0.9	3	0.016
cons_cons	0_0.25	CC	0.301_0.4	7	0.036
cons_cons	0_0.25	CC	0.101_0.2	2	0.01
cons_cons	0_0.25	CC	0.701_0.8	9	0.047
cons_cons	0_0.25	CC	0.501_0.6	2	0.01
cons_cons	0_0.25	CC	0.401_0.5	7	0.036
cons_cons	0_0.25	EE	0.601_0.7	6	0.158
cons_cons	0_0.25	EE	0_0.1	0	0.0
cons_cons	0_0.25	EE	0.901_1.0	16	0.421
cons_cons	0_0.25	EE	0.201_0.3	2	0.053
cons_cons	0_0.25	EE	0.801_0.9	0	0.0
cons_cons	0_0.25	EE	0.301_0.4	10	0.263
cons_cons	0_0.25	EE	0.101_0.2	1	0.026
cons_cons	0_0.25	EE	0.701_0.8	1	0.026
cons_cons	0_0.25	EE	0.501_0.6	0	0.0
cons_cons	0_0.25	EE	0.401_0.5	2	0.053
cons_cons	0_0.25	HH	0.601_0.7	10	0.096
cons_cons	0_0.25	HH	0_0.1	0	0.0
cons_cons	0_0.25	HH	0.901_1.0	69	0.663
cons_cons	0_0.25	HH	0.201_0.3	1	0.01
cons_cons	0_0.25	HH	0.801_0.9	1	0.01
cons_cons	0_0.25	HH	0.301_0.4	9	0.087
cons_cons	0_0.25	HH	0.101_0.2	1	0.01
cons_cons	0_0.25	HH	0.701_0.8	7	0.067
cons_cons	0_0.25	HH	0.501_0.6	3	0.029
cons_cons	0_0.25	HH	0.401_0.5	3	0.029
alt_alt	0_0.25	EE	0.601_0.7	14	0.147
alt_alt	0_0.25	EE	0_0.1	0	0.0
alt_alt	0_0.25	EE	0.901_1.0	43	0.453
alt_alt	0_0.25	EE	0.201_0.3	1	0.011
alt_alt	0_0.25	EE	0.801_0.9	2	0.021
alt_alt	0_0.25	EE	0.301_0.4	17	0.179
alt_alt	0_0.25	EE	0.101_0.2	3	0.032
alt_alt	0_0.25	EE	0.701_0.8	6	0.063
alt_alt	0_0.25	EE	0.501_0.6	3	0.032
alt_alt	0_0.25	EE	0.401_0.5	6	0.063
alt_alt	0_0.25	CC	0.601_0.7	63	0.086
alt_alt	0_0.25	CC	0_0.1	0	0.0
alt_alt	0_0.25	CC	0.901_1.0	548	0.745
alt_alt	0_0.25	CC	0.201_0.3	15	0.02
alt_alt	0_0.25	CC	0.801_0.9	12	0.016
alt_alt	0_0.25	CC	0.301_0.4	20	0.027
alt_alt	0_0.25	CC	0.101_0.2	4	0.005
alt_alt	0_0.25	CC	0.701_0.8	39	0.053
alt_alt	0_0.25	CC	0.501_0.6	10	0.014
alt_alt	0_0.25	CC	0.401_0.5	25	0.034
alt_alt	0_0.25	HH	0.601_0.7	35	0.108
alt_alt	0_0.25	HH	0_0.1	0	0.0
alt_alt	0_0.25	HH	0.901_1.0	204	0.628
alt_alt	0_0.25	HH	0.201_0.3	8	0.025
alt_alt	0_0.25	HH	0.801_0.9	5	0.015
alt_alt	0_0.25	HH	0.301_0.4	30	0.092
alt_alt	0_0.25	HH	0.101_0.2	7	0.022
alt_alt	0_0.25	HH	0.701_0.8	19	0.058
alt_alt	0_0.25	HH	0.501_0.6	4	0.012
alt_alt	0_0.25	HH	0.401_0.5	13	0.04
alt_alt	0.25_0.5	CC	0.601_0.7	169	0.067
alt_alt	0.25_0.5	CC	0_0.1	2	0.001
alt_alt	0.25_0.5	CC	0.901_1.0	1720	0.679
