Length,Type
-3,N
8,N
8,N
8,N
8,N
-32,N
-32,N
11,N
11,N
-61,N
-62,N
-11,N
-45,N
6,N
-27,N
-3,N
7,N
-84,N
36,N
-11,N
-9,N
-3,N
-95,N
8,N
11,N
11,N
-35,N
-99,N
-99,N
-99,N
-9,N
8,N
-99,N
8,N
4,N
4,N
-11,N
-9,N
-24,N
10,N
-5,N
5,N
5,N
-107,N
89,N
-94,N
-15,N
-1043,N
13,N
9,N
9,N
-47,N
23,N
-46,N
-5,N
-5,N
-5,N
-4,N
-4,N
-5,N
-5,N
-4,N
-5,N
-5,N
-4,N
-4,N
-37,N
-17,N
-17,N
-59,N
-9,N
-3,N
-3,N
66,N
7,N
17,N
17,N
-48,N
-9,N
25,N
-3,N
-9,N
-9,N
-5,N
-5,N
-128,N
-128,N
-25,N
81,N
-31,N
35,N
35,N
-70,N
-39,N
-7,N
-20,N
-20,N
6,N
21,N
21,N
21,N
21,N
21,N
28,N
14,N
-37,N
9,N
9,N
-15,N
-15,N
-117,N
-117,N
-117,N
-13,N
-13,N
-13,N
-11,N
-23,N
-23,N
-3,N
-3,N
-3,N
-3,N
-3,N
-3,N
-9,N
-9,N
-30,N
-30,N
-30,N
-30,N
-30,N
-30,N
-115,N
-7,N
-93,N
-13,N
-69,N
7,N
-14,N
6,N
-40,N
-40,N
-6,N
-126,N
-15,N
-15,N
83,N
-13,N
-13,N
-13,N
-13,N
-12,N
-12,N
-4,N
-27,N
-52,N
-40,N
42,N
9,N
-5,N
-25,N
-25,N
-16,N
8,N
109,N
109,N
84,N
-68,N
47,N
-6,N
-6,N
-6,N
-6,N
-6,N
-11,N
-11,N
24,N
-24,N
24,N
-24,N
24,N
-24,N
-24,N
-13,N
-13,N
-130,N
-130,N
-130,N
27,N
-31,N
-8,N
40,N
40,N
40,N
40,N
-9,N
40,N
40,N
9,N
-12,N
-12,N
36,N
-87,N
-54,N
-54,N
-54,N
-15,N
-15,N
7,N
12,N
12,N
4,N
-25,N
4,N
-25,N
-25,N
-26,N
-26,N
4,N
4,N
-5,N
-5,N
-5,N
-4,N
-4,N
-21,N
-29,N
-21,N
-48,N
-38,N
27,N
27,N
-20,N
-33,N
-9,N
-9,N
4,N
-23,N
9,N
9,N
-13,N
24,N
24,N
-12,N
-9,N
7,N
7,N
7,N
7,N
27,N
4,N
4,N
27,N
-5,N
-23,N
5,N
5,N
-52,N
-8,N
-25,N
-25,N
-25,N
-25,N
27,N
88,N
88,N
8,N
-13,N
-9,N
-29,N
-160,N
20,N
-4,N
7,N
-45,N
-39,N
21,N
21,N
21,N
-222,N
26,N
14,N
-6,N
-6,N
-20,N
-20,N
-20,N
-10,N
-43,N
-26,N
45,N
13,N
28,N
28,N
3,N
28,N
-25,N
3,N
3,N
8,N
-43,N
-52,N
-69,N
-27,N
18,N
7,N
122,N
-10,N
-21,N
-4,N
-14,N
-14,N
-4,N
-4,N
-9,N
-8,N
-8,N
-46,N
-78,N
-16,N
-15,N
-11,N
-30,N
41,N
6,N
18,N
10,N
-25,N
59,N
8,N
-9,N
-49,N
-9,N
-6,N
-6,N
-6,N
46,N
46,N
19,N
19,N
-13,N
-13,N
-13,N
-13,N
4,N
8,N
-7,N
-19,N
-19,N
4,N
-52,N
-15,N
-10,N
-99,N
-26,N
-40,N
12,N
12,N
108,N
12,N
12,N
12,N
12,N
12,N
-20,N
-122,N
-48,N
7,N
7,N
7,N
-35,N
10,N
10,N
17,N
-9,N
-9,N
24,N
24,N
24,N
24,N
-7,N
-7,N
197,N
197,N
197,N
7,N
7,N
80,N
-59,N
-19,N
-19,N
-19,N
-15,N
29,N
382,N
4,N
2039,N
1538,N
-27,N
19,N
19,N
-40,N
-7,N
-32,N
-33,N
-32,N
-33,N
-33,N
-12,N
-12,N
-12,N
-40,N
-129,N
-8,N
-129,N
-129,N
12,N
-13,N
7,N
7,N
-21,N
9,N
-3,N
-62,N
-17,N
-17,N
-66,N
-31,N
-39,N
-39,N
-9,N
-40,N
-9,N
-18,N
8,N
8,N
8,N
8,N
-59,N
-59,N
-21,N
28,N
28,N
27,N
30,N
-49,N
92,N
27,N
27,N
4,N
-60,N
-60,N
-52,N
8,N
-36,N
26,N
26,N
26,N
26,N
70,N
70,N
-151,N
-33,N
-6,N
-6,N
-19,N
6,N
-18,N
-18,N
-18,N
-18,N
135,N
-18,N
98,N
95,N
37,N
-84,N
-60,N
55,N
-39,N
-36,N
-68,N
-68,N
-93,N
-8,N
-8,N
-8,N
-23,N
-30,N
-94,N
-15,N
-15,N
-16,N
-74,N
18,N
-39,N
-33,N
-12,N
-17,N
-12,N
-12,N
-23,N
-23,N
-36,N
134,N
169,N
263,N
-7,N
-60,N
-34,N
-49,N
-4,N
-4,N
-26,N
74,N
74,N
74,N
74,N
61,N
74,N
-191,N
-5,N
77,N
-42,N
-42,N
-42,N
-42,N
-8,N
-7,N
-7,N
-8,N
-23,N
43,N
-35,N
88,N
-9,N
-9,N
-26,N
4,N
-14,N
-235,N
-235,N
-235,N
4,N
4,N
-97,N
-20,N
-145,N
59,N
95,N
55,N
-5,N
-5,N
-29,N
-11,N
-74,N
-14,N
-18,N
21,N
21,N
21,N
21,N
-57,N
-22,N
-45,N
-20,N
-16,N
103,N
-18,N
-22,N
-47,N
-42,N
6,N
6,N
6,N
6,N
6,N
-90,N
-42,N
-40,N
-40,N
-150,N
-150,N
-150,N
-14,N
-48,N
-31,N
-31,N
-31,N
-55,N
-55,N
-59,N
-105,N
-105,N
-44,N
-44,N
-9,N
34,N
-14,N
-6,N
9,N
-15,N
3,N
-15,N
-15,N
-15,N
4,N
4,N
4,N
-15,N
3,N
-52,N
-46,N
-9,N
-6,N
-4,N
-4,N
-4,N
-4,N
-51,N
-51,N
-51,N
-51,N
-13,N
-13,N
-13,N
-22,N
-13,N
-22,N
52,N
4,N
-26,N
-4,N
45,N
-134,N
18,N
18,N
10,N
-26,N
-26,N
-12,N
-5,N
-5,N
26,N
-41,N
-41,N
-4,N
9,N
-45,N
-5,N
3,N
93,N
-32,N
-32,N
-8,N
-39,N
-15,N
-4,N
-7,N
-7,N
-7,N
11,N
11,N
7,N
9,N
9,N
7,N
7,N
-6,N
-3,N
-3,N
26,N
-21,N
-23,N
-3,N
-58,N
-11,N
251,N
251,N
251,N
251,N
244,N
-11,N
14,N
-3,N
-3,N
-4,N
-3,N
14,N
-4,N
-53,N
23,N
-16,N
-38,N
-51,N
23,N
23,N
-69,N
-14,N
-34,N
-18,N
-22,N
-18,N
-15,N
-11,N
-23,N
6,N
-35,N
7,N
7,N
7,N
7,N
38,N
-26,N
9,N
13,N
13,N
9,N
9,N
13,N
-15,N
-15,N
-100,N
9,N
24,N
9,N
8,N
24,N
8,N
24,N
8,N
9,N
-25,N
4,N
-7,N
-7,N
-7,N
-7,N
-7,N
25,N
-6,N
25,N
25,N
10,N
25,N
-6,N
-43,N
-43,N
-15,N
-15,N
-41,N
-27,N
-27,N
-27,N
-27,N
-32,N
-4,N
-4,N
-4,N
-23,N
-50,N
-12,N
27,N
-12,N
-65,N
-41,N
-17,N
4,N
4,N
4,N
-17,N
-27,N
3,N
-17,N
-17,N
-36,N
-36,N
-36,N
20,N
-9,N
61,N
118,N
30,N
23,N
-35,N
5,N
5,N
-15,N
-15,N
-73,N
17,N
5,N
5,N
-50,N
-10,N
7,N
-66,N
-17,N
-14,N
-44,N
-6,N
6,N
-31,N
16,N
17,N
16,N
16,N
16,N
17,N
17,N
16,N
17,N
-8,N
-18,N
36,N
36,N
36,N
-47,N
-38,N
-43,N
-25,N
-8,N
-8,N
-8,N
-139,N
-12,N
-6,N
-49,N
43,N
-10,N
12,N
12,N
12,N
-23,N
-127,N
-129,N
-9,N
-192,N
-16,N
-14,N
-14,N
-34,N
11,N
-20,N
-7,N
-7,N
-7,N
-21,N
-7,N
-30,N
-30,N
-30,N
-4,N
-30,N
5,N
5,N
37,N
110,N
-13,N
-13,N
-13,N
36,N
-17,N
-3,N
-35,N
-14,N
-8,N
-8,N
-15,N
6,N
6,N
6,N
6,N
-12,N
-13,N
13,N
13,N
13,N
87,N
13,N
-49,N
-49,N
43,N
-28,N
26,N
26,N
48,N
-57,N
-57,N
7,N
21,N
26,N
26,N
26,N
26,N
26,N
38,N
30,N
-7,N
-19,N
-7,N
-6,N
-7,N
-6,N
29,N
-48,N
-528,N
-8,N
-5,N
-5,N
49,N
37,N
49,N
49,N
37,N
49,N
37,N
49,N
-14,N
11,N
30,N
-44,N
-42,N
-54,N
16,N
16,N
-31,N
16,N
16,N
-15,N
-39,N
22,N
22,N
22,N
35,N
-5,N
-13,N
-15,N
-20,N
-9,N
-21,N
7,N
7,N
6,N
17,N
43,N
-23,N
32,N
32,N
32,N
6,N
32,N
32,N
32,N
13,N
-11,N
-11,N
-46,N
39,N
-15,N
67,N
-15,N
-29,N
28,N
127,N
127,N
-17,N
-34,N
-28,N
-20,N
-11,N
-11,N
-33,N
-11,N
-11,N
-32,N
-32,N
-32,N
-32,N
-32,N
-13,N
-37,N
-13,N
-13,N
-55,N
-55,N
-27,N
-28,N
-29,N
-8,N
-16,N
-16,N
41,N
-29,N
-12,N
-12,N
-12,N
49,N
14,N
25,N
14,N
-5,N
14,N
10,N
10,N
-11,N
10,N
6,N
10,N
10,N
-11,N
-11,N
-48,N
-152,N
-34,N
17,N
16,N
-46,N
-16,N
-10,N
-25,N
-25,N
-30,N
-17,N
17,N
-18,N
-4,N
-4,N
-4,N
10,N
-28,N
-28,N
-21,N
-28,N
-28,N
35,N
-6,N
-21,N
166,N
-982,N
-42,N
-35,N
6,N
6,N
48,N
-4,N
-10,N
-22,N
-7,N
-7,N
-7,N
46,N
-71,N
-71,N
-71,N
-5,N
-5,N
-5,N
-5,N
-5,N
-5,N
-5,N
-5,N
-211,N
-184,N
-4,N
-4,N
12,N
-23,N
-29,N
-12,N
-39,N
6,N
11,N
11,N
11,N
11,N
-17,N
11,N
-13,N
80,N
-16,N
-16,N
-53,N
-20,N
49,N
49,N
49,N
-39,N
-12,N
25,N
-38,N
-38,N
-22,N
-8,N
-17,N
-6,N
15,N
-106,N
20,N
-7,N
42,N
-32,N
8,N
8,N
-32,N
8,N
104,N
5,N
102,N
5,N
-10,N
-10,N
-10,N
-22,N
156,N
-29,N
-4,N
-42,N
-64,N
-117,N
-104,N
-19,N
24,N
-66,N
10,N
10,N
-11,N
-11,N
-11,N
23,N
-57,N
-4,N
-4,N
-29,N
-9,N
-3,N
-59,N
-59,N
7,N
-12,N
-11,N
-12,N
48,N
48,N
-11,N
12,N
-18,N
-38,N
42,N
-27,N
33,N
-17,N
58,N
58,N
-11,N
5,N
12,N
8,N
8,N
-3,N
-7,N
9,N
9,N
9,N
-6,N
-38,N
-38,N
-33,N
-10,N
-38,N
-80,N
-11,N
-13,N
-4,N
-25,N
17,N
17,N
17,N
5,N
8,N
8,N
4,N
8,N
8,N
8,N
-57,N
-31,N
-13,N
10,N
18,N
50,N
63,N
63,N
6,N
53,N
-30,N
37,N
-38,N
-5,N
55,N
-11,N
-273,N
51,N
-17,N
-17,N
-19,N
-19,N
-19,N
15,N
-24,N
-24,N
-24,N
6,N
-22,N
-23,N
18,N
18,N
-3,N
-26,N
-26,N
-26,N
-36,N
-36,N
5,N
19,N
19,N
-4,N
-24,N
-15,N
47,N
-48,N
-48,N
-48,N
-19,N
-12,N
36,N
36,N
36,N
202,N
202,N
202,N
202,N
11,N
11,N
-5,N
-21,N
-10,N
-16,N
19,N
24,N
-89,N
6,N
-139,N
-139,N
-13,N
-48,N
-16,N
-5,N
-6,N
-6,N
-110,N
-13,N
77,N
77,N
77,N
-192,N
-45,N
-45,N
-3,N
-47,N
-40,N
-36,N
5,N
-39,N
8,N
-5,N
-38,N
-25,N
-10,N
9,N
15,N
9,N
23,N
17,N
17,N
-16,N
20,N
10,N
15,N
-12,N
9,N
9,N
15,N
-4,N
9,N
9,N
9,N
9,N
9,N
9,N
9,N
-34,N
-7,N
-45,N
57,N
37,N
38,N
38,N
4,N
4,N
-4,N
48,N
31,N
14,N
-23,N
-50,N
32,N
32,N
137,N
-4,N
-10,N
-4,N
-6,N
-99,N
75,N
75,N
5,N
5,N
5,N
5,N
5,N
-7,N
-24,N
-20,N
-20,N
-20,N
5,N
5,N
5,N
5,N
5,N
5,N
5,N
-9,N
-18,N
-22,N
-22,N
-58,N
39,N
39,N
-7,N
-24,N
-11,N
-9,N
-9,N
3,N
3,N
3,N
-3,N
-35,N
122,N
48,N
-28,N
-9,N
-4,N
-4,N
62,N
-26,N
62,N
-26,N
62,N
-26,N
-31,N
-11,N
-93,N
-59,N
-59,N
-93,N
-93,N
-47,N
42,N
-37,N
-44,N
-11,N
13,N
5,N
5,N
24,N
-7,N
-11,N
-14,N
-21,N
-4,N
28,N
28,N
28,N
-25,N
-25,N
-25,N
-33,N
-16,N
-40,N
-40,N
-40,N
-46,N
-46,N
-7,N
-33,N
-33,N
-42,N
-41,N
23,N
17,N
-8,N
-5,N
-15,N
-24,N
208,N
208,N
-24,N
-17,N
-32,N
-24,N
-63,N
-13,N
-66,N
-66,N
-32,N
-14,N
-5,N
-5,N
-5,N
-40,N
-10,N
-29,N
-29,N
-29,N
-6,N
-6,N
17,N
17,N
17,N
-5,N
-5,N
41,N
15,N
15,N
5,N
13,N
95,N
95,N
21,N
-43,N
-6,N
-6,N
-4,N
-34,N
-34,N
-45,N
-59,N
-25,N
27,N
5,N
5,N
5,N
-50,N
-13,N
-45,N
-7,N
19,N
-7,N
7,N
7,N
19,N
-7,N
-7,N
-17,N
-17,N
12,N
12,N
6,N
6,N
-13,N
-13,N
-48,N
-48,N
-58,N
-58,N
-58,N
-47,N
-53,N
-15,N
-31,N
-276,N
125,N
-7,N
-6,N
-6,N
-6,N
-15,N
-18,N
-59,N
-6,N
-60,N
-62,N
-4,N
10,N
10,N
10,N
7,N
7,N
-8,N
21,N
21,N
21,N
-9,N
-15,N
-31,N
136,N
-47,N
12,N
-60,N
12,N
-79,N
16,N
16,N
-15,N
27,N
-13,N
-13,N
-81,N
-81,N
4,N
5,N
5,N
5,N
5,N
15,N
38,N
-40,N
-28,N
15,N
15,N
15,N
15,N
92,N
8,N
8,N
8,N
8,N
-9,N
-11,N
9,N
-10,N
-33,N
-36,N
-3,N
-3,N
-62,N
23,N
23,N
-13,N
-13,N
8,N
8,N
-70,N
-44,N
16,N
7,N
4,N
-66,N
4,N
-45,N
200,N
-66,N
-9,N
33,N
-11,N
-427,N
-21,N
-21,N
-19,N
26,N
26,N
92,N
-32,N
17,N
28,N
33,N
-4,N
-4,N
31,N
-4,N
33,N
28,N
33,N
-6,N
-564,N
22,N
22,N
22,N
-129,N
-32,N
-3,N
-3,N
-3,N
56,N
99,N
12,N
-71,N
-21,N
-11,N
6,N
6,N
6,N
6,N
6,N
7,N
-50,N
-25,N
-14,N
-13,N
13,N
13,N
23,N
23,N
33,N
33,N
-44,N
-44,N
6,N
-6,N
4,N
-61,N
-17,N
-17,N
6,N
6,N
6,N
-21,N
-21,N
-21,N
-21,N
-79,N
-20,N
-40,N
-40,N
-5,N
-5,N
-5,N
44,N
52,N
7,N
7,N
8,N
-80,N
-66,N
-66,N
200,N
4,N
4,N
4,N
4,N
-11,N
-11,N
37,N
-11,N
-11,N
-27,N
-11,N
-11,N
31,N
7,N
-8,N
-8,N
-8,N
-8,N
-8,N
-8,N
-63,N
-4,N
10,N
10,N
10,N
-27,N
-35,N
-17,N
-3,N
-41,N
-28,N
8,N
-23,N
17,N
-37,N
35,N
18,N
-8,N
-6,N
-15,N
-15,N
-6,N
-24,N
23,N
-24,N
-24,N
-31,N
8,N
8,N
8,N
8,N
-31,N
-136,N
28,N
32,N
32,N
5,N
66,N
-15,N
94,N
-5,N
-5,N
-14,N
-27,N
-17,N
-17,N
-260,N
-34,N
-10,N
-20,N
-10,N
-8,N
-70,N
-70,N
-15,N
20,N
-12,N
-18,N
-27,N
-27,N
-62,N
-27,N
-27,N
-27,N
-27,N
8,N
8,N
8,N
8,N
6,N
6,N
6,N
6,N
133,N
40,N
-33,N
4,N
29,N
-24,N
-24,N
-6,N
-6,N
-6,N
-23,N
5,N
5,N
-48,N
-1051,N
14,N
8,N
-67,N
-67,N
-67,N
70,N
-29,N
-7,N
21,N
164,N
15,N
15,N
-4,N
20,N
-4,N
20,N
42,N
42,N
42,N
-46,N
-15,N
-16,N
5,N
5,N
5,N
5,N
-40,N
-54,N
7,N
7,N
7,N
7,N
7,N
-184,N
11,N
11,N
11,N
11,N
-4,N
-4,N
-4,N
-4,N
5,N
-22,N
-16,N
-14,N
5,N
-28,N
28,N
4,N
-38,N
4,N
25,N
-29,N
-11,N
-4,N
-3,N
-9,N
-5,N
-5,N
-16,N
-20,N
-20,N
-5,N
-19,N
-6,N
-9,N
-3,N
11,N
-8,N
-8,N
-8,N
-8,N
11,N
-8,N
11,N
-8,N
-8,N
11,N
11,N
-8,N
13,N
-40,N
-17,N
-17,N
-17,N
10,N
-23,N
-3,N
19,N
19,N
19,N
15,N
9,N
8,N
7,N
8,N
9,N
8,N
39,N
-4,N
39,N
39,N
-14,N
6,N
-31,N
-31,N
-18,N
61,N
54,N
-7,N
5,N
-7,N
3,N
3,N
-9,N
-3,N
-37,N
-37,N
-37,N
7,N
7,N
-67,N
17,N
17,N
17,N
17,N
17,N
-10,N
-10,N
-6,N
-6,N
4,N
28,N
51,N
-20,N
20,N
20,N
20,N
20,N
20,N
20,N
20,N
20,N
20,N
-114,N
4,N
4,N
-23,N
-14,N
-14,N
-14,N
-14,N
52,N
52,N
225,N
-9,N
6,N
6,N
6,N
6,N
6,N
-9,N
6,N
-9,N
-51,N
-14,N
8,N
8,N
8,N
8,N
14,N
14,N
14,N
-5,N
-5,N
-22,N
40,N
-8,N
20,N
20,N
-9,N
-34,N
-26,N
-7,N
-53,N
32,N
32,N
32,N
32,N
15,N
32,N
-19,N
-295,N
-16,N
5,N
-16,N
-16,N
-155,N
-155,N
8,N
36,N
36,N
36,N
36,N
36,N
36,N
14,N
-12,N
-27,N
-27,N
8,N
-44,N
-93,N
-18,N
7,N
-18,N
7,N
-18,N
-11,N
-18,N
-11,N
-18,N
-12,N
-18,N
-11,N
