Length,Type
-11,N
6,N
6,N
-11,N
-3,N
20,N
-14,N
-4,N
-36,N
-21,N
-21,N
-36,N
34,N
3,N
3,N
-14,N
-6,N
8,N
4,N
4,N
4,N
4,N
8,N
4,N
8,N
4,N
8,N
4,N
52,N
-62,N
-31,N
-62,N
-50,N
5,N
5,N
-11,N
-25,N
-7,N
7,N
6,N
6,N
40,N
15,N
40,N
-31,N
-160,N
9,N
16,N
31,N
6,N
-254,N
-254,N
-40,N
5,N
-17,N
-17,N
8,N
8,N
-51,N
4,N
-1285,N
-106,N
-26,N
-26,N
-26,N
9,N
9,N
9,N
-9,N
-21,N
84,N
84,N
35,N
84,N
35,N
84,N
35,N
-66,N
-7,N
-7,N
-34,N
-13,N
-58,N
42,N
-46,N
14,N
14,N
14,N
18,N
18,N
-11,N
18,N
13,N
111,N
21,N
21,N
17,N
17,N
-86,N
36,N
-26,N
-6,N
-11,N
5,N
5,N
5,N
5,N
5,N
6,N
5,N
-18,N
-18,N
-21,N
-19,N
-191,N
16,N
-3,N
21,N
-8,N
250,N
64,N
7,N
7,N
7,N
7,N
-12,N
17,N
17,N
17,N
17,N
17,N
7,N
7,N
-21,N
-141,N
-141,N
-73,N
-61,N
-4,N
-33,N
-33,N
-14,N
121,N
121,N
121,N
121,N
121,N
121,N
40,N
-9,N
-49,N
-9,N
10,N
-12,N
6,N
-11,N
-5,N
-8,N
-8,N
-19,N
-7,N
-104,N
6,N
-3,N
-17,N
18,N
18,N
18,N
-10,N
-18,N
-17,N
10,N
218,N
24,N
60,N
17,N
-34,N
-14,N
-26,N
-31,N
-67,N
-82,N
-3,N
47,N
-11,N
-3,N
-11,N
-10,N
-18,N
8,N
37,N
-22,N
-37,N
40,N
-53,N
14,N
-65,N
-9,N
-3,N
-8,N
-13,N
-17,N
-11,N
-28,N
17,N
17,N
-23,N
18,N
43,N
-17,N
12,N
78,N
78,N
7,N
-17,N
-10,N
-7,N
6,N
-4,N
-4,N
-11,N
-10,N
-7,N
6,N
-4,N
-10,N
-10,N
-8,N
-49,N
-49,N
12,N
12,N
-69,N
-16,N
-44,N
-11,N
-53,N
3,N
-18,N
16,N
-21,N
8,N
-8,N
10,N
6,N
-208,N
13,N
16,N
16,N
16,N
-8,N
15,N
27,N
27,N
-18,N
-11,N
-18,N
3,N
-48,N
-54,N
-7,N
-32,N
-41,N
6,N
-10,N
159,N
-44,N
-91,N
-17,N
-16,N
-16,N
-16,N
-16,N
-46,N
-62,N
-62,N
15,N
-14,N
110,N
-22,N
-12,N
8,N
-12,N
-12,N
-8,N
-8,N
-8,N
-11,N
-11,N
-9,N
94,N
6,N
-115,N
-30,N
11,N
-8,N
-14,N
4,N
-3,N
8,N
8,N
8,N
8,N
-32,N
-32,N
-25,N
11,N
11,N
-61,N
-62,N
4,N
-11,N
-45,N
6,N
-27,N
-33,N
-3,N
7,N
-84,N
36,N
-9,N
-11,N
-3,N
-8,N
-39,N
-95,N
8,N
11,N
11,N
18,N
-5,N
-35,N
-99,N
-99,N
-99,N
-9,N
-99,N
8,N
8,N
33,N
4,N
4,N
-11,N
-9,N
-24,N
10,N
-5,N
-40,N
5,N
5,N
-107,N
89,N
-94,N
-15,N
3,N
3,N
-1043,N
-9,N
13,N
53,N
-123,N
9,N
9,N
-47,N
23,N
-46,N
25,N
-5,N
-5,N
-4,N
-5,N
-4,N
-5,N
-5,N
-4,N
-5,N
-5,N
-4,N
-4,N
-8,N
-37,N
-17,N
-17,N
-59,N
-9,N
-3,N
-3,N
66,N
7,N
17,N
17,N
-48,N
-9,N
-9,N
25,N
-3,N
-9,N
-9,N
-5,N
-5,N
-128,N
-128,N
-25,N
81,N
-31,N
35,N
35,N
-70,N
-3,N
-39,N
-7,N
-20,N
-20,N
-60,N
6,N
21,N
21,N
21,N
21,N
21,N
-139,N
28,N
14,N
-37,N
9,N
9,N
-15,N
-15,N
-117,N
-117,N
-117,N
-13,N
-13,N
-13,N
-11,N
-23,N
-23,N
-588,N
-12,N
-3,N
-3,N
-3,N
-3,N
-3,N
-3,N
-9,N
-9,N
-30,N
-30,N
-30,N
-30,N
-30,N
-30,N
-19,N
-115,N
16,N
-7,N
-93,N
-13,N
-10,N
16,N
-69,N
7,N
54,N
-4,N
-14,N
6,N
-34,N
-40,N
-40,N
-6,N
-126,N
-15,N
-15,N
83,N
-13,N
-13,N
-13,N
-13,N
-48,N
-12,N
-12,N
-4,N
-27,N
-5,N
-52,N
-18,N
-40,N
42,N
-40,N
-40,N
9,N
-5,N
-87,N
-25,N
-25,N
-16,N
8,N
98,N
109,N
109,N
84,N
-68,N
28,N
65,N
-9,N
47,N
-227,N
-6,N
-6,N
-6,N
-6,N
-6,N
-10,N
-9,N
-11,N
-11,N
24,N
-24,N
24,N
-24,N
24,N
-24,N
-24,N
-26,N
-10,N
-13,N
-13,N
-130,N
-130,N
-130,N
-29,N
27,N
-31,N
-8,N
40,N
40,N
40,N
40,N
-9,N
40,N
40,N
7,N
9,N
-12,N
-12,N
36,N
-87,N
-54,N
-54,N
-54,N
-15,N
-15,N
41,N
7,N
12,N
12,N
4,N
4,N
-25,N
-26,N
-26,N
4,N
-25,N
-25,N
4,N
-5,N
-5,N
-5,N
-4,N
-4,N
-21,N
-29,N
-21,N
-48,N
-38,N
27,N
27,N
206,N
-20,N
-33,N
-8,N
-9,N
-9,N
4,N
-24,N
-23,N
9,N
9,N
-13,N
24,N
24,N
-12,N
12,N
-9,N
7,N
7,N
7,N
7,N
4,N
4,N
27,N
27,N
6,N
-5,N
-23,N
-16,N
7,N
5,N
5,N
-52,N
-8,N
-12,N
-12,N
-25,N
-25,N
-25,N
27,N
-25,N
51,N
88,N
88,N
8,N
-13,N
-9,N
-29,N
-160,N
-59,N
-48,N
7,N
20,N
-4,N
12,N
7,N
-45,N
35,N
-39,N
-20,N
21,N
21,N
21,N
-222,N
26,N
14,N
-15,N
-6,N
-6,N
-65,N
-55,N
47,N
-22,N
-20,N
-20,N
-20,N
-10,N
12,N
-43,N
-26,N
-3,N
49,N
45,N
13,N
83,N
28,N
28,N
3,N
28,N
-25,N
3,N
3,N
8,N
-43,N
-52,N
-69,N
-27,N
73,N
6,N
16,N
-39,N
18,N
7,N
122,N
-10,N
-4,N
-21,N
-14,N
-14,N
-4,N
-4,N
11,N
77,N
-12,N
-9,N
-8,N
-8,N
-7,N
-46,N
33,N
33,N
-78,N
-202,N
23,N
23,N
-16,N
7,N
-15,N
-11,N
-78,N
-30,N
41,N
-49,N
-40,N
6,N
18,N
10,N
-25,N
59,N
151,N
8,N
-9,N
-97,N
-49,N
-9,N
-6,N
-6,N
-6,N
-27,N
5,N
5,N
46,N
46,N
37,N
37,N
19,N
19,N
-13,N
-13,N
-13,N
-13,N
17,N
4,N
8,N
-11,N
18,N
-7,N
-19,N
-19,N
4,N
-52,N
-15,N
-41,N
-10,N
-99,N
-26,N
26,N
-40,N
12,N
12,N
108,N
12,N
12,N
12,N
12,N
12,N
-20,N
23,N
23,N
-122,N
-48,N
7,N
7,N
7,N
-35,N
10,N
10,N
17,N
-9,N
-9,N
24,N
24,N
24,N
24,N
-7,N
-7,N
6,N
-55,N
197,N
197,N
197,N
7,N
7,N
80,N
-84,N
37,N
-59,N
-19,N
-19,N
-19,N
-15,N
29,N
-7,N
382,N
4,N
2039,N
1538,N
-27,N
19,N
19,N
-40,N
-7,N
-32,N
-32,N
-33,N
-33,N
-33,N
-17,N
38,N
-12,N
-12,N
-12,N
-40,N
-129,N
-8,N
-129,N
-129,N
12,N
-13,N
7,N
-20,N
-67,N
-7,N
-7,N
7,N
26,N
-21,N
-7,N
9,N
-3,N
-16,N
-62,N
-17,N
-17,N
-66,N
85,N
-31,N
-28,N
-28,N
-39,N
-39,N
-9,N
-40,N
-9,N
9,N
-12,N
-18,N
30,N
-18,N
8,N
8,N
8,N
8,N
-164,N
-18,N
-59,N
-59,N
-21,N
28,N
28,N
15,N
27,N
30,N
-29,N
-49,N
92,N
27,N
27,N
4,N
-60,N
-60,N
-52,N
-5,N
8,N
-5,N
-38,N
-36,N
26,N
26,N
26,N
26,N
70,N
70,N
-7,N
-16,N
-16,N
-151,N
-33,N
-6,N
-6,N
22,N
-19,N
6,N
6,N
-18,N
-18,N
-18,N
-18,N
135,N
-18,N
-6,N
98,N
95,N
37,N
-84,N
-60,N
55,N
-39,N
-36,N
-40,N
59,N
-68,N
-68,N
214,N
-93,N
-8,N
-8,N
-8,N
-23,N
-30,N
-8,N
-8,N
-94,N
60,N
-15,N
-15,N
-9,N
-16,N
-74,N
18,N
-39,N
68,N
-33,N
-12,N
-17,N
-44,N
26,N
-12,N
-12,N
-23,N
-23,N
-36,N
-15,N
134,N
169,N
263,N
-7,N
-60,N
-34,N
-49,N
-4,N
-4,N
-26,N
9,N
-82,N
74,N
74,N
74,N
74,N
61,N
74,N
-13,N
-19,N
-191,N
-5,N
77,N
-42,N
-42,N
-42,N
-42,N
-7,N
-8,N
-7,N
-8,N
-23,N
43,N
27,N
-35,N
-47,N
88,N
-9,N
-9,N
-119,N
4,N
-26,N
4,N
-14,N
-235,N
-235,N
-235,N
-104,N
22,N
-320,N
-5,N
4,N
4,N
-97,N
-6,N
-20,N
-48,N
-18,N
-145,N
41,N
59,N
95,N
55,N
-5,N
-5,N
-29,N
-11,N
-74,N
-14,N
-18,N
21,N
21,N
21,N
21,N
-57,N
86,N
-22,N
-45,N
-20,N
-16,N
103,N
-22,N
-27,N
-25,N
-11,N
-18,N
-22,N
-47,N
-42,N
6,N
6,N
6,N
6,N
6,N
-90,N
-42,N
-25,N
-21,N
-26,N
-40,N
-40,N
-150,N
-150,N
-150,N
-14,N
-48,N
-3,N
12,N
33,N
-11,N
-31,N
-31,N
-31,N
-55,N
-55,N
-59,N
-105,N
-105,N
-9,N
-44,N
-44,N
34,N
-14,N
-6,N
9,N
-15,N
-15,N
-15,N
-15,N
3,N
4,N
4,N
4,N
-15,N
3,N
-46,N
-52,N
5,N
5,N
-9,N
-22,N
-6,N
-4,N
-4,N
-4,N
-4,N
-331,N
-51,N
-51,N
-51,N
-51,N
-13,N
-13,N
-13,N
-22,N
-13,N
52,N
-22,N
4,N
-157,N
-26,N
-4,N
4,N
113,N
45,N
-134,N
18,N
18,N
10,N
18,N
-26,N
-26,N
-7,N
23,N
-12,N
-5,N
-5,N
26,N
-14,N
-41,N
-41,N
-82,N
-4,N
9,N
-45,N
-5,N
8,N
3,N
93,N
-32,N
-32,N
-8,N
-39,N
-6,N
-25,N
-15,N
-4,N
-7,N
-7,N
-7,N
-7,N
-8,N
11,N
11,N
7,N
9,N
9,N
7,N
7,N
-6,N
-3,N
-3,N
12,N
26,N
-21,N
-23,N
-3,N
-58,N
-11,N
251,N
251,N
251,N
251,N
244,N
-11,N
14,N
-3,N
-4,N
-3,N
14,N
-3,N
-4,N
39,N
-53,N
-31,N
-291,N
-16,N
-8,N
23,N
-16,N
-38,N
-51,N
23,N
23,N
40,N
-69,N
-14,N
-34,N
-88,N
-88,N
-18,N
-22,N
-18,N
-16,N
-6,N
-15,N
-15,N
-11,N
-23,N
6,N
-35,N
7,N
7,N
7,N
7,N
10,N
-466,N
38,N
-26,N
9,N
13,N
13,N
9,N
9,N
13,N
-15,N
-15,N
-100,N
9,N
24,N
9,N
24,N
8,N
24,N
8,N
8,N
9,N
